ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
PIR,Piratapuyo,pira1254,,pir,,,,
BAS,Barasano,bara1380,,bsn,,,,
DES,Desano,desa1247,,des,,,,
KOR,Koreguahe,kore1283,,coe,,,,
SIO,Siona,sion1247,,snn,,,,
KUB,Kubeo,cube1242,,cub,,,,
SEK,Sekoya,seco1241,,sey,,,,
WAN,Wanano,guan1269,,gvc,,,,
TAN,Tanimuka,tani1257,,tnc,,,,
TUY,Tuyuka,tuyu1244,,tue,,,,
TUK,Tukano,tuca1252,,tuo,,,,
MAI,Maihiki,orej1242,,ore,,,,
KAR,Karapan,cara1272,,cbc,,,,
KUE,Kueretu,cure1236,,,,,,
YUP,Yupua,jupu1235,,,,,,
ProtoT,Proto-Tucanoan,tuca1253,,,,,,
