ID,TOKENS,GLOSS 3 ENGL,MODIFIED,GLOSA 1 PORT,COGID,PWT,GLOSA 2 ENGL,CONCEPT,IPA,PET,GLOSA 2 PORT,ALIGNMENT,COUNTERPART,GLOSA 3 PORT,CONTEXT,DOCULECT
1,g o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,go,PET,GLOSA 2 PORT,g o,go,GLOSA 3 PORT,AX,BAS
2,g o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,go,PET,GLOSA 2 PORT,g o,go,GLOSA 3 PORT,AX,DES
3,o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,o,PET,GLOSA 2 PORT,- o,o,GLOSA 3 PORT,X,KAR
4,o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,o,PET,GLOSA 2 PORT,- o,o,GLOSA 3 PORT,X,KOR
5,k o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,ko,PET,GLOSA 2 PORT,k o,ko,GLOSA 3 PORT,AX,KUB
6,o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,o,PET,GLOSA 2 PORT,- o,o,GLOSA 3 PORT,X,MAI
7,k o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,ko,PET,GLOSA 2 PORT,k o,-ko,GLOSA 3 PORT,AX,PIR
8,o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,o,PET,GLOSA 2 PORT,- o,o,GLOSA 3 PORT,X,SEK
9,g o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,go,PET,GLOSA 2 PORT,g o,"go, ʔkho",GLOSA 3 PORT,AX,SIO
10,g o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,go,PET,GLOSA 2 PORT,g o,go,GLOSA 3 PORT,AX,TUK
11,k o,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,1,PWT,GLOSA 2 ENGL,feminine,ko,PET,GLOSA 2 PORT,k o,-ko,GLOSA 3 PORT,AX,WAN
12,kʔ o,,TRUE,,1,,,feminine,*-kʔo,,,kʔ o,,,AX,*PT
13,b ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,bɨ,PET,GLOSA 2 PORT,b ɨ,bɨ,GLOSA 3 PORT,AX,BAS
14,b ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,bɨ,PET,GLOSA 2 PORT,b ɨ,bɨ,GLOSA 3 PORT,AX,DES
15,w ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,wɨ,PET,GLOSA 2 PORT,w ɨ,wɨ,GLOSA 3 PORT,AX,KUB
16,w ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,wɨ,PET,GLOSA 2 PORT,w ɨ,wɨ,GLOSA 3 PORT,AX,SEK
