ID,TOKENS,GLOSS 3 ENGL,MODIFIED,GLOSA 1 PORT,COGID,PWT,GLOSA 2 ENGL,CONCEPT,IPA,PET,GLOSA 2 PORT,ALIGNMENT,COUNTERPART,GLOSA 3 PORT,CONTEXT,DOCULECT
17,w ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,wɨ,PET,GLOSA 2 PORT,w ɨ,~wɨ,GLOSA 3 PORT,AX,SIO
18,p ɨ,GLOSS 3 ENGL,FALSE,GLOSA 1 PORT,2,PWT,GLOSA 2 ENGL,non.3rd.animate.person,pɨ,PET,GLOSA 2 PORT,p ɨ,-pɨ,GLOSA 3 PORT,AX,TUK
19,pʔ ɨ,,TRUE,,2,,,non.3rd.animate.person,*-pʔɨ,,,pʔ ɨ,,,AX,*PT
20,m ĩ,GLOSS 3 ENGL,FALSE,3a ps masc I,3,PWT,GLOSA 2 ENGL,3rd.person.masculine,~bi,PET,GLOSA 2 PORT,m ĩ,~bi,GLOSA 3 PORT,AX,BAS
21,m ĩ,GLOSS 3 ENGL,FALSE,3a ps masc I,3,PWT,GLOSA 2 ENGL,3rd.person.masculine,~bi,PET,GLOSA 2 PORT,m ĩ,~bi,GLOSA 3 PORT,AX,DES
22,b i,GLOSS 3 ENGL,FALSE,3a ps masc I,3,PWT,GLOSA 2 ENGL,3rd.person.masculine,bi,PET,GLOSA 2 PORT,b i,bi,GLOSA 3 PORT,AX,KUB
23,p i,GLOSS 3 ENGL,FALSE,3a ps masc I,3,PWT,GLOSA 2 ENGL,3rd.person.masculine,pi,PET,GLOSA 2 PORT,p i,"pi, hi",GLOSA 3 PORT,AX,SEK
24,m ĩ,GLOSS 3 ENGL,FALSE,3a ps masc I,3,PWT,GLOSA 2 ENGL,3rd.person.masculine,~bi,PET,GLOSA 2 PORT,m ĩ,-~bi,GLOSA 3 PORT,AX,TUK
25,p i,,FALSE,,3,,,3rd.person.masculine,*-pi,,,p i,,,AX,*PT
26,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,re,GLOSA 3 PORT,AX,BAS
27,d e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,de,PET,GLOSA 2 PORT,d e,de,GLOSA 3 PORT,AX,DES
28,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,-re,GLOSA 3 PORT,AX,KAR
29,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,"re, ʔthe",GLOSA 3 PORT,AX,KOR
30,d e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,de,PET,GLOSA 2 PORT,d e,de,GLOSA 3 PORT,AX,KUB
31,d e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,de,PET,GLOSA 2 PORT,d e,de,GLOSA 3 PORT,AX,MAI
32,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,-re,GLOSA 3 PORT,AX,PIR
33,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,"re, te",GLOSA 3 PORT,AX,SEK
34,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,"re,  ʔthe",GLOSA 3 PORT,AX,SIO
35,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,re,GLOSA 3 PORT,AX,TAN
36,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,-re,GLOSA 3 PORT,AX,TUK
37,r e,GLOSS 3 ENGL,FALSE,Caso: Não-nominativo,4,PWT,GLOSA 2 ENGL,Case: non-nominatvie,re,PET,GLOSA 2 PORT,r e,-re,GLOSA 3 PORT,AX,WAN
38,tʔ e,,TRUE,,4,,,Case: non-nominatvie,*-tʔe,,,tʔ e,,,AX,*PT
39,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,do,GLOSA 3 PORT,AX,BAS
40,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,do,GLOSA 3 PORT,AX,DES
41,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,-do,GLOSA 3 PORT,AX,KAR
42,n õ,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,~do,PET,parto-of-a-whole,n õ,~do,GLOSA 3 PORT,AX,KUB
43,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,do,GLOSA 3 PORT,AX,MAI
44,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,-do,GLOSA 3 PORT,AX,PIR
45,r o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,ro,PET,parto-of-a-whole,r o,"ro, to",GLOSA 3 PORT,AX,SEK
46,r o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,ro,PET,parto-of-a-whole,r o,"ro, ʔtho",GLOSA 3 PORT,AX,SIO
47,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,-do,GLOSA 3 PORT,AX,TUK
48,d o,GLOSS 3 ENGL,FALSE,locativo,5,PWT,GLOSA 2 ENGL,locative,do,PET,parto-of-a-whole,d o,-do,GLOSA 3 PORT,AX,WAN
49,tʔ o,,TRUE,,5,,,locative,*-tʔo,,,tʔ o,,,AX,*PT
50,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,BAS
51,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,DES
52,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,KAR
53,ã j ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,ãjã,PET,GLOSA 2 PORT,- ã ɲ ã,ãjã,GLOSA 3 PORT,XBZ,KOR
54,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,KUB
55,h a j a,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,haja,PET,GLOSA 2 PORT,h a j a,haja,GLOSA 3 PORT,AXBZ,KUE
56,ã j ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,ãjã,PET,GLOSA 2 PORT,- ã ɲ ã,ãjã,GLOSA 3 PORT,XBZ,MAI
57,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,PIR
58,ã j ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,ãjã,PET,GLOSA 2 PORT,- ã ɲ ã,ãjã,GLOSA 3 PORT,XBZ,SEK
59,ã j ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,ãjã,PET,GLOSA 2 PORT,- ã ɲ ã,ãjã,GLOSA 3 PORT,XBZ,SIO
60,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,TAN
61,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,TUK
62,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,TUY
63,ã ɲ ã,GLOSS 3 ENGL,FALSE,cobra,6,PWT,GLOSA 2 ENGL,snake,~aja,PET,GLOSA 2 PORT,- ã ɲ ã,~aja,GLOSA 3 PORT,XBZ,WAN
64,ã j a,,FALSE,,6,,,snake,*ãja,,,- ã j a,,,XBZ,*PT
65,a c i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,aci,PET,heat,- a - ts i - ( - - ),aci,GLOSA 3 PORT,XBZ,BAS
66,a s i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,asi,PET,heat,- a - s i - ( - - ),asi,GLOSA 3 PORT,XBZ,DES
67,a s i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,asi,PET,heat,- a - s i - ( - - ),asi,GLOSA 3 PORT,XBZ,KAR
68,a s u,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,asu,PET,heat,- a - s u - ( - - ),asu,GLOSA 3 PORT,XBZ,KOR
69,h a t ɨ,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,hatɨ,PET,heat,h a - t ɨ - ( - - ),hatɨ,GLOSA 3 PORT,AXBZ,KUE
70,a t∫ u,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,at∫u,PET,heat,- a - t∫ u - ( - - ),at∫u,GLOSA 3 PORT,XBZ,MAI
71,h a ʔs u,GLOSS 3 ENGL,TRUE,quente,7,PWT,GLOSA 2 ENGL,hot,haʔsu,PET,heat,h a - ʔs u - ( - - ),haʔsu,GLOSA 3 PORT,AXBZ,SIO
72,a s i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,asi,PET,heat,- a - s i - ( - - ),asi,GLOSA 3 PORT,XBZ,TUK
73,a s i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,asi,PET,heat,- a - s i - ( - - ),asi,GLOSA 3 PORT,XBZ,TUY
74,s i,GLOSS 3 ENGL,FALSE,quente,7,PWT,GLOSA 2 ENGL,hot,si,PET,heat,- - - s i - ( - - ),si,GLOSA 3 PORT,AX,WAN
75,a h ts i a m a,GLOSS 3 ENGL,TRUE,quente,7,PWT,GLOSA 2 ENGL,hot,ahtsiama,PET,heat,- a h ts i a ( m a ),ahtsiama,GLOSA 3 PORT,XMBYYBZ,YUP
76,a tj ɨ,,FALSE,,7,,,hot,*atjɨ,,,- a - ts ɨ - ( - - ),,,XBZ,*PT
77,ĩ ŋ ẽ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~ige,PET,GLOSA 2 PORT,- ĩ ŋ ẽ - -,~ige,GLOSA 3 PORT,XBZ,BAS
78,ĩ ʔŋ ĩ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~iʔgi,PET,GLOSA 2 PORT,- ĩ ʔŋ ĩ - -,~iʔgi,GLOSA 3 PORT,XBZ,DES
79,ɨ̃ k ẽ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~ɨke,PET,GLOSA 2 PORT,- ɨ̃ k ẽ - -,~ɨke,GLOSA 3 PORT,XBZ,KAR
80,ɨ̃ kh e,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,ɨ̃khe,PET,GLOSA 2 PORT,- ɨ̃ kh e - -,ɨ̃khe,GLOSA 3 PORT,XBZ,KOR
81,ũ e k a,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,ũeka,PET,GLOSA 2 PORT,- ũ - e k a,ũeka,GLOSA 3 PORT,XYBZ,KUB
82,k o m e,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,kome,PET,GLOSA 2 PORT,k o m e - -,kome,GLOSA 3 PORT,AXBZ,KUE
83,ũ k u e,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,ũkue,PET,GLOSA 2 PORT,- ũ kw e - -,ũkue,GLOSA 3 PORT,XBYZ,MAI
84,õ kw e,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,õkwe,PET,GLOSA 2 PORT,- õ kw e - -,õkwe,GLOSA 3 PORT,XBCZ,SEK
85,ũ k u e,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,ũkue,PET,GLOSA 2 PORT,- ũ kw e - -,ũkue,GLOSA 3 PORT,XBYZ,SIO
86,õ m ẽ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~obe,PET,GLOSA 2 PORT,- õ m ẽ - -,~obe,GLOSA 3 PORT,XBZ,TAN
87,ẽ ʔk ẽ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~eʔke,PET,GLOSA 2 PORT,- ẽ ʔk ẽ - -,~eʔke,GLOSA 3 PORT,XBZ,TUK
88,ẽ k ẽ ã,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~ekea,PET,GLOSA 2 PORT,- ẽ k ẽ ã -,~ekea,GLOSA 3 PORT,XBYZ,TUY
89,k ẽ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,~ke,PET,GLOSA 2 PORT,- - k ẽ - -,~ke,GLOSA 3 PORT,AX,WAN
90,ɨ g ɨ,GLOSS 3 ENGL,FALSE,nariz,8,PWT,GLOSA 2 ENGL,nose,ɨgɨ,PET,GLOSA 2 PORT,- ɨ g ɨ - -,ɨgɨ,GLOSA 3 PORT,XBZ,YUP
91,ɨ̃ kwʔ e,,TRUE,,8,,,nose,*ɨ̃kwʔe,,,- ɨ̃ kwʔ e - -,,,XBZ,*PT
92,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,BAS
93,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,DES
94,m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~bɨ,PET,GLOSA 2 PORT,- m ɨ̃,~bɨ,GLOSA 3 PORT,AX,KAR
95,ɨ m ɨ,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,ɨmɨ,PET,GLOSA 2 PORT,ɨ m ɨ,ɨmɨ,GLOSA 3 PORT,XBZ,KOR
96,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,KUB
97,ɨ m ɨ,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,ɨmɨ,PET,GLOSA 2 PORT,ɨ m ɨ,ɨmɨ,GLOSA 3 PORT,XBZ,MAI
98,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,ɨ̃mɨ̃,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,ɨ̃mɨ̃,GLOSA 3 PORT,XBZ,SEK
99,ɨ m ɨ,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,ɨmɨ,PET,GLOSA 2 PORT,ɨ m ɨ,ɨmɨ,GLOSA 3 PORT,XBZ,SIO
100,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,TAN
101,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,TUK
102,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,TUY
103,ɨ̃ m ɨ̃,GLOSS 3 ENGL,FALSE,homem,9,PWT,GLOSA 2 ENGL,man,~ɨbɨ,PET,GLOSA 2 PORT,ɨ̃ m ɨ̃,~ɨbɨ,GLOSA 3 PORT,XBZ,WAN
104,ɨ m ɨ,,FALSE,,9,,,man,*ɨmɨ,,,ɨ m ɨ,,,XBZ,*PT
105,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,BAS
106,ɨ̃ n ĩ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨdi,PET,GLOSA 2 PORT,ɨ̃ n ĩ,~ɨdi,GLOSA 3 PORT,XBZ,DES
107,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,KAR
108,ɨ n e,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,ɨne,PET,GLOSA 2 PORT,ɨ n e,ɨne,GLOSA 3 PORT,XBZ,KOR
109,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,KUB
110,ɨ ʔn e,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,ɨʔne,PET,GLOSA 2 PORT,ɨ ʔn e,ɨʔne,GLOSA 3 PORT,XBZ,KUE
111,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,PIR
112,ɨ n e,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,ɨne,PET,GLOSA 2 PORT,ɨ n e,ɨne,GLOSA 3 PORT,XBZ,SIO
113,ĩ r̃ ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ire,PET,GLOSA 2 PORT,ĩ r ẽ,~ire,GLOSA 3 PORT,XBZ,TAN
114,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,TUK
115,ɨ̃ n ẽ,GLOSS 3 ENGL,FALSE,pupunha,10,PWT,GLOSA 2 ENGL,pupunha,~ɨde,PET,GLOSA 2 PORT,ɨ̃ n ẽ,~ɨde,GLOSA 3 PORT,XBZ,WAN
116,ɨ n e,,FALSE,,10,,,pupunha,*ɨne,,,ɨ n e,,,XBZ,*PT
117,i d i a,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,idia,*ɨtʔia,GLOSA 2 PORT,i d i a,idia,GLOSA 3 PORT,XBYZ,BAS
118,ɨ ʔd e,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,ɨʔde,*ɨtʔia,GLOSA 2 PORT,ɨ ʔd - e,ɨʔde,GLOSA 3 PORT,XBZ,DES
119,i t i a,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,itia,*ɨtʔia,GLOSA 2 PORT,i t i a,itia,GLOSA 3 PORT,XBYZ,KUE
120,i ʔt i a,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,iʔtia,*ɨtʔia,GLOSA 2 PORT,i ʔt i a,iʔtia,GLOSA 3 PORT,XBYZ,TUK
121,i t i a,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,itia,*ɨtʔia,GLOSA 2 PORT,i t i a,itia,GLOSA 3 PORT,XBYZ,TUY
122,t i a,GLOSS 3 ENGL,FALSE,três,11,PWT,GLOSA 2 ENGL,three,tia,*ɨtʔia,GLOSA 2 PORT,- t i a,tia,GLOSA 3 PORT,AXZ,WAN
123,ɨ tʔ i a,,TRUE,,11,,,three,*ɨtʔia,,,ɨ tʔ i a,,,XBYZ,*PT
124,ɨ j e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨje,PET,GLOSA 2 PORT,ɨ j e -,ɨje,GLOSA 3 PORT,XBZ,BAS
125,i g i,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,igi,PET,GLOSA 2 PORT,i g i -,igi,GLOSA 3 PORT,XBZ,DES
126,ɨ s e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨse,PET,GLOSA 2 PORT,ɨ s e -,ɨse,GLOSA 3 PORT,XBZ,KAR
127,ɨ j e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨje,PET,GLOSA 2 PORT,ɨ j e -,ɨje,GLOSA 3 PORT,XBZ,KOR
128,ɨ́ j a i,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨ́jai,PET,GLOSA 2 PORT,ɨ́ j a i,ɨ́jai,GLOSA 3 PORT,XBYZ,KUB
129,e d e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ede,PET,GLOSA 2 PORT,e d e -,ede,GLOSA 3 PORT,XBZ,MAI
130,ɨ j e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨje,PET,GLOSA 2 PORT,ɨ j e -,ɨje,GLOSA 3 PORT,XBZ,SIO
131,ɨ ʔs e,GLOSS 3 ENGL,FALSE,cucura,12,PWT,GLOSA 2 ENGL,grape,ɨʔse,PET,GLOSA 2 PORT,ɨ ʔs e -,ɨʔse,GLOSA 3 PORT,XBZ,TUK
